Sex,Year,Obesity (%),Region,BMI
Female,2005,18.0 [13.2-23.3],Caribbean,18.0
Both sexes,2006,14.7 [11.4-18.3],Caribbean,14.7
Male,2006,10.0 [6.0-15.4],Caribbean,10.0
Female,2006,18.8 [13.9-24.2],Caribbean,18.8
Both sexes,2007,15.4 [12.1-19.2],Caribbean,15.4
Male,2007,10.7 [6.5-16.2],Caribbean,10.7
Female,2007,19.6 [14.7-25.0],Caribbean,19.6
Both sexes,2008,16.2 [12.7-20.1],Caribbean,16.2
Male,2008,11.4 [7.0-17.2],Caribbean,11.4
Female,2008,20.4 [15.3-25.9],Caribbean,20.4
Both sexes,2009,16.9 [13.4-21.0],Caribbean,16.9
Male,2009,12.2 [7.5-18.2],Caribbean,12.2
Female,2009,21.3 [16.0-26.9],Caribbean,21.3
Both sexes,2010,17.7 [14.1-21.9],Caribbean,17.7
Male,2010,12.9 [8.1-19.1],Caribbean,12.9
Female,2010,22.1 [16.7-27.9],Caribbean,22.1
Both sexes,2011,18.6 [14.7-22.9],Caribbean,18.6
Male,2011,13.7 [8.6-20.1],Caribbean,13.7
Female,2011,22.9 [17.3-28.9],Caribbean,22.9
Both sexes,2012,19.4 [15.4-23.9],Caribbean,19.4
Male,2012,14.5 [9.2-21.3],Caribbean,14.5
Female,2012,23.7 [17.9-29.9],Caribbean,23.7
Both sexes,2013,20.2 [16.0-24.9],Caribbean,20.2
Male,2013,15.4 [9.7-22.5],Caribbean,15.4
Female,2013,24.5 [18.5-31.0],Caribbean,24.5
Both sexes,2014,21.0 [16.7-25.9],Caribbean,21.0
Male,2014,16.2 [10.2-23.6],Caribbean,16.2
Female,2014,25.3 [19.1-32.0],Caribbean,25.3
Both sexes,2015,21.8 [17.2-26.9],Caribbean,21.8
Male,2015,17.1 [10.7-24.8],Caribbean,17.1
Female,2015,26.1 [19.7-33.1],Caribbean,26.1
Both sexes,2016,22.7 [17.8-27.9],Caribbean,22.7
Male,2016,17.9 [11.3-26.0],Caribbean,17.9
Female,2016,26.9 [20.2-34.1],Caribbean,26.9
