Sex,Year,Obesity (%),Region,BMI
Female,2006,19.5 [14.0-25.8],Balkans,19.5
Both sexes,2007,19.1 [14.8-23.7],Balkans,19.1
Male,2007,18.4 [12.4-25.2],Balkans,18.4
Female,2007,19.7 [14.2-26.1],Balkans,19.7
Both sexes,2008,19.4 [15.1-24.0],Balkans,19.4
Male,2008,18.8 [12.7-25.7],Balkans,18.8
Female,2008,19.9 [14.4-26.4],Balkans,19.9
Both sexes,2009,19.8 [15.4-24.4],Balkans,19.8
Male,2009,19.3 [13.0-26.3],Balkans,19.3
Female,2009,20.2 [14.5-26.6],Balkans,20.2
Both sexes,2010,20.1 [15.6-24.8],Balkans,20.1
Male,2010,19.7 [13.3-26.9],Balkans,19.7
Female,2010,20.4 [14.7-27.0],Balkans,20.4
Both sexes,2011,20.5 [15.9-25.2],Balkans,20.5
Male,2011,20.2 [13.6-27.4],Balkans,20.2
Female,2011,20.7 [14.8-27.3],Balkans,20.7
Both sexes,2012,20.8 [16.2-25.7],Balkans,20.8
Male,2012,20.6 [13.9-28.1],Balkans,20.6
Female,2012,20.9 [14.9-27.7],Balkans,20.9
Both sexes,2013,21.2 [16.4-26.2],Balkans,21.2
Male,2013,21.1 [14.2-28.8],Balkans,21.1
Female,2013,21.2 [15.0-28.2],Balkans,21.2
Both sexes,2014,21.6 [16.6-26.7],Balkans,21.6
Male,2014,21.6 [14.5-29.4],Balkans,21.6
Female,2014,21.5 [15.1-28.7],Balkans,21.5
Both sexes,2015,22.0 [16.9-27.3],Balkans,22.0
Male,2015,22.1 [14.8-30.2],Balkans,22.1
Female,2015,21.8 [15.0-29.3],Balkans,21.8
Both sexes,2016,22.4 [17.2-27.9],Balkans,22.4
Male,2016,22.6 [15.0-31.0],Balkans,22.6
Female,2016,22.1 [15.1-29.9],Balkans,22.1
