Sex,Year,Obesity (%),Region,BMI
Female,2006,17.1 [12.2-22.5],Balkans,17.1
Both sexes,2007,16.5 [12.9-20.3],Balkans,16.5
Male,2007,15.5 [10.4-21.2],Balkans,15.5
Female,2007,17.5 [12.6-23.0],Balkans,17.5
Both sexes,2008,17.0 [13.4-21.0],Balkans,17.0
Male,2008,16.1 [10.9-22.1],Balkans,16.1
Female,2008,18.0 [12.9-23.6],Balkans,18.0
Both sexes,2009,17.6 [13.8-21.6],Balkans,17.6
Male,2009,16.8 [11.5-22.9],Balkans,16.8
Female,2009,18.4 [13.3-24.2],Balkans,18.4
Both sexes,2010,18.2 [14.3-22.3],Balkans,18.2
Male,2010,17.4 [12.0-23.7],Balkans,17.4
Female,2010,18.9 [13.6-24.8],Balkans,18.9
Both sexes,2011,18.8 [14.8-23.0],Balkans,18.8
Male,2011,18.1 [12.5-24.5],Balkans,18.1
Female,2011,19.4 [14.0-25.3],Balkans,19.4
Both sexes,2012,19.3 [15.3-23.7],Balkans,19.3
Male,2012,18.8 [13.0-25.4],Balkans,18.8
Female,2012,19.9 [14.3-26.0],Balkans,19.9
Both sexes,2013,19.9 [15.7-24.4],Balkans,19.9
Male,2013,19.5 [13.4-26.3],Balkans,19.5
Female,2013,20.4 [14.6-26.7],Balkans,20.4
Both sexes,2014,20.5 [16.2-25.1],Balkans,20.5
Male,2014,20.2 [13.9-27.3],Balkans,20.2
Female,2014,20.8 [14.9-27.4],Balkans,20.8
Both sexes,2015,21.1 [16.6-26.0],Balkans,21.1
Male,2015,20.9 [14.4-28.1],Balkans,20.9
Female,2015,21.3 [15.1-28.1],Balkans,21.3
Both sexes,2016,21.7 [17.0-26.7],Balkans,21.7
Male,2016,21.6 [14.8-29.0],Balkans,21.6
Female,2016,21.8 [15.3-28.9],Balkans,21.8
