Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,4.5 [2.3-7.7],Central Asia,4.5
Male,1975,3.0 [1.0-6.7],Central Asia,3.0
Female,1975,5.6 [2.3-10.8],Central Asia,5.6
Both sexes,1976,4.7 [2.5-7.9],Central Asia,4.7
Male,1976,3.1 [1.0-6.8],Central Asia,3.1
Female,1976,5.7 [2.5-10.9],Central Asia,5.7
Both sexes,1977,4.8 [2.6-8.0],Central Asia,4.8
Male,1977,3.3 [1.1-6.9],Central Asia,3.3
Female,1977,5.9 [2.6-11.0],Central Asia,5.9
Both sexes,1978,5.0 [2.8-8.1],Central Asia,5.0
Male,1978,3.4 [1.2-7.1],Central Asia,3.4
Female,1978,6.1 [2.8-11.0],Central Asia,6.1
Both sexes,1979,5.2 [2.9-8.2],Central Asia,5.2
Male,1979,3.6 [1.3-7.2],Central Asia,3.6
Female,1979,6.3 [3.0-11.2],Central Asia,6.3
Both sexes,1980,5.3 [3.1-8.4],Central Asia,5.3
Male,1980,3.7 [1.4-7.4],Central Asia,3.7
Female,1980,6.5 [3.2-11.3],Central Asia,6.5
Both sexes,1981,5.5 [3.2-8.6],Central Asia,5.5
Male,1981,3.9 [1.5-7.6],Central Asia,3.9
Female,1981,6.7 [3.4-11.5],Central Asia,6.7
Both sexes,1982,5.7 [3.4-8.7],Central Asia,5.7
Male,1982,4.0 [1.6-7.7],Central Asia,4.0
Female,1982,6.9 [3.6-11.6],Central Asia,6.9
Both sexes,1983,5.9 [3.6-8.9],Central Asia,5.9
Male,1983,4.2 [1.7-7.9],Central Asia,4.2
Female,1983,7.1 [3.8-11.8],Central Asia,7.1
Both sexes,1984,6.0 [3.7-9.1],Central Asia,6.0
Male,1984,4.3 [1.8-8.1],Central Asia,4.3
Female,1984,7.3 [4.0-12.0],Central Asia,7.3
Both sexes,1985,6.2 [3.9-9.3],Central Asia,6.2
Male,1985,4.5 [2.0-8.3],Central Asia,4.5
Female,1985,7.5 [4.2-12.1],Central Asia,7.5
Both sexes,1986,6.4 [4.1-9.4],Central Asia,6.4
Male,1986,4.7 [2.1-8.5],Central Asia,4.7
Female,1986,7.7 [4.3-12.3],Central Asia,7.7
Both sexes,1987,6.6 [4.2-9.7],Central Asia,6.6
Male,1987,4.9 [2.2-8.7],Central Asia,4.9
Female,1987,8.0 [4.5-12.5],Central Asia,8.0
Both sexes,1988,6.8 [4.4-9.9],Central Asia,6.8
Male,1988,5.0 [2.3-8.9],Central Asia,5.0
Female,1988,8.2 [4.7-12.7],Central Asia,8.2
Both sexes,1989,7.0 [4.6-10.1],Central Asia,7.0
Male,1989,5.2 [2.5-9.2],Central Asia,5.2
Female,1989,8.4 [5.0-12.9],Central Asia,8.4
Both sexes,1990,7.2 [4.8-10.3],Central Asia,7.2
