Sex,Year,Obesity (%),Region,BMI
Female,2006,28.3 [21.9-35.1],Middle East,28.3
Both sexes,2007,21.9 [17.7-26.2],Middle East,21.9
Male,2007,15.1 [10.3-20.9],Middle East,15.1
Female,2007,28.9 [22.4-35.7],Middle East,28.9
Both sexes,2008,22.5 [18.3-26.9],Middle East,22.5
Male,2008,15.7 [10.7-21.6],Middle East,15.7
Female,2008,29.6 [22.9-36.4],Middle East,29.6
Both sexes,2009,23.1 [18.8-27.6],Middle East,23.1
Male,2009,16.3 [11.2-22.3],Middle East,16.3
Female,2009,30.2 [23.5-37.1],Middle East,30.2
Both sexes,2010,23.8 [19.4-28.3],Middle East,23.8
Male,2010,16.9 [11.6-23.1],Middle East,16.9
Female,2010,30.8 [24.0-37.9],Middle East,30.8
Both sexes,2011,24.4 [20.0-29.1],Middle East,24.4
Male,2011,17.5 [12.0-23.9],Middle East,17.5
Female,2011,31.5 [24.6-38.8],Middle East,31.5
Both sexes,2012,25.1 [20.5-29.9],Middle East,25.1
Male,2012,18.1 [12.4-24.7],Middle East,18.1
Female,2012,32.1 [25.1-39.6],Middle East,32.1
Both sexes,2013,25.8 [21.0-30.8],Middle East,25.8
Male,2013,18.8 [12.8-25.5],Middle East,18.8
Female,2013,32.8 [25.6-40.4],Middle East,32.8
Both sexes,2014,26.4 [21.6-31.6],Middle East,26.4
Male,2014,19.5 [13.3-26.6],Middle East,19.5
Female,2014,33.4 [26.0-41.3],Middle East,33.4
Both sexes,2015,27.1 [22.0-32.6],Middle East,27.1
Male,2015,20.2 [13.7-27.5],Middle East,20.2
Female,2015,34.1 [26.4-42.3],Middle East,34.1
Both sexes,2016,27.8 [22.5-33.5],Middle East,27.8
Male,2016,20.9 [14.1-28.6],Middle East,20.9
Female,2016,34.8 [26.7-43.2],Middle East,34.8
