Sex,Year,Obesity (%),Region,BMI
Female,2006,41.6 [36.8-46.6],Middle East,41.6
Both sexes,2007,33.0 [29.7-36.4],Middle East,33.0
Male,2007,27.8 [23.3-32.4],Middle East,27.8
Female,2007,42.0 [37.2-46.9],Middle East,42.0
Both sexes,2008,33.5 [30.1-37.0],Middle East,33.5
Male,2008,28.3 [23.8-33.0],Middle East,28.3
Female,2008,42.4 [37.5-47.4],Middle East,42.4
Both sexes,2009,34.0 [30.6-37.6],Middle East,34.0
Male,2009,28.9 [24.3-33.7],Middle East,28.9
Female,2009,42.8 [37.8-47.9],Middle East,42.8
Both sexes,2010,34.6 [31.0-38.2],Middle East,34.6
Male,2010,29.5 [24.8-34.3],Middle East,29.5
Female,2010,43.2 [38.1-48.3],Middle East,43.2
Both sexes,2011,35.1 [31.4-38.9],Middle East,35.1
Male,2011,30.1 [25.2-35.1],Middle East,30.1
Female,2011,43.6 [38.4-48.8],Middle East,43.6
Both sexes,2012,35.6 [31.8-39.6],Middle East,35.6
Male,2012,30.7 [25.6-36.0],Middle East,30.7
Female,2012,44.0 [38.6-49.4],Middle East,44.0
Both sexes,2013,36.2 [32.2-40.3],Middle East,36.2
Male,2013,31.3 [25.9-36.8],Middle East,31.3
Female,2013,44.4 [38.7-50.2],Middle East,44.4
Both sexes,2014,36.8 [32.5-41.2],Middle East,36.8
Male,2014,32.0 [26.3-37.8],Middle East,32.0
Female,2014,44.8 [38.8-50.8],Middle East,44.8
Both sexes,2015,37.4 [32.9-42.0],Middle East,37.4
Male,2015,32.6 [26.6-38.7],Middle East,32.6
Female,2015,45.2 [39.0-51.4],Middle East,45.2
Both sexes,2016,37.9 [33.2-42.7],Middle East,37.9
Male,2016,33.3 [27.0-39.7],Middle East,33.3
Female,2016,45.6 [39.1-52.1],Middle East,45.6
