Sex,Year,Obesity (%),Region,BMI
Female,2006,21.3 [15.4-27.5],Balkans,21.3
Both sexes,2007,21.2 [17.0-25.6],Balkans,21.2
Male,2007,20.5 [14.7-27.0],Balkans,20.5
Female,2007,21.6 [15.6-27.9],Balkans,21.6
Both sexes,2008,21.6 [17.4-26.1],Balkans,21.6
Male,2008,21.1 [15.2-27.7],Balkans,21.1
Female,2008,21.9 [15.9-28.3],Balkans,21.9
Both sexes,2009,22.0 [17.6-26.6],Balkans,22.0
Male,2009,21.6 [15.6-28.3],Balkans,21.6
Female,2009,22.2 [16.0-28.6],Balkans,22.2
Both sexes,2010,22.4 [18.0-27.0],Balkans,22.4
Male,2010,22.1 [16.0-29.0],Balkans,22.1
Female,2010,22.5 [16.3-29.1],Balkans,22.5
Both sexes,2011,22.8 [18.3-27.5],Balkans,22.8
Male,2011,22.7 [16.4-29.6],Balkans,22.7
Female,2011,22.8 [16.4-29.6],Balkans,22.8
Both sexes,2012,23.2 [18.6-28.1],Balkans,23.2
Male,2012,23.2 [16.8-30.3],Balkans,23.2
Female,2012,23.1 [16.5-30.1],Balkans,23.1
Both sexes,2013,23.7 [18.9-28.6],Balkans,23.7
Male,2013,23.8 [17.2-31.0],Balkans,23.8
Female,2013,23.4 [16.7-30.6],Balkans,23.4
Both sexes,2014,24.1 [19.1-29.2],Balkans,24.1
Male,2014,24.4 [17.6-31.7],Balkans,24.4
Female,2014,23.7 [16.9-31.2],Balkans,23.7
Both sexes,2015,24.5 [19.4-29.8],Balkans,24.5
Male,2015,24.9 [17.9-32.5],Balkans,24.9
Female,2015,24.0 [17.1-31.8],Balkans,24.0
Both sexes,2016,25.0 [19.7-30.5],Balkans,25.0
Male,2016,25.5 [18.2-33.3],Balkans,25.5
Female,2016,24.3 [17.2-32.4],Balkans,24.3
