Sex,Year,Obesity (%),Region,BMI
Female,2006,53.8 [45.9-61.2],Oceania,53.8
Both sexes,2007,49.7 [44.1-55.1],Oceania,49.7
Male,2007,44.8 [36.8-52.6],Oceania,44.8
Female,2007,54.4 [46.5-61.8],Oceania,54.4
Both sexes,2008,50.4 [44.8-55.8],Oceania,50.4
Male,2008,45.7 [37.7-53.5],Oceania,45.7
Female,2008,55.0 [47.0-62.4],Oceania,55.0
Both sexes,2009,51.1 [45.5-56.5],Oceania,51.1
Male,2009,46.6 [38.4-54.3],Oceania,46.6
Female,2009,55.6 [47.6-62.9],Oceania,55.6
Both sexes,2010,51.8 [46.2-57.2],Oceania,51.8
Male,2010,47.4 [39.2-55.2],Oceania,47.4
Female,2010,56.1 [48.2-63.4],Oceania,56.1
Both sexes,2011,52.4 [46.8-58.0],Oceania,52.4
Male,2011,48.2 [40.0-56.1],Oceania,48.2
Female,2011,56.6 [48.6-64.1],Oceania,56.6
Both sexes,2012,53.1 [47.3-58.6],Oceania,53.1
Male,2012,49.0 [40.7-56.9],Oceania,49.0
Female,2012,57.1 [49.0-64.6],Oceania,57.1
Both sexes,2013,53.7 [47.8-59.3],Oceania,53.7
Male,2013,49.7 [41.3-57.8],Oceania,49.7
Female,2013,57.6 [49.4-65.2],Oceania,57.6
Both sexes,2014,54.2 [48.3-59.9],Oceania,54.2
Male,2014,50.4 [41.8-58.6],Oceania,50.4
Female,2014,58.0 [49.7-65.8],Oceania,58.0
Both sexes,2015,54.8 [48.8-60.5],Oceania,54.8
Male,2015,51.1 [42.3-59.4],Oceania,51.1
Female,2015,58.4 [49.9-66.4],Oceania,58.4
Both sexes,2016,55.3 [49.3-61.2],Oceania,55.3
Male,2016,51.8 [42.6-60.3],Oceania,51.8
Female,2016,58.8 [50.1-66.9],Oceania,58.8
