Sex,Year,Obesity (%),Region,BMI
Female,2006,38.5 [32.3-44.6],Middle East,38.5
Both sexes,2007,29.5 [24.9-34.5],Middle East,29.5
Male,2007,26.4 [20.6-32.5],Middle East,26.4
Female,2007,39.0 [32.7-45.2],Middle East,39.0
Both sexes,2008,30.0 [25.3-35.0],Middle East,30.0
Male,2008,27.0 [21.2-33.3],Middle East,27.0
Female,2008,39.4 [33.2-45.7],Middle East,39.4
Both sexes,2009,30.5 [25.7-35.6],Middle East,30.5
Male,2009,27.7 [21.8-34.0],Middle East,27.7
Female,2009,39.9 [33.6-46.2],Middle East,39.9
Both sexes,2010,31.1 [26.2-36.3],Middle East,31.1
Male,2010,28.3 [22.3-34.8],Middle East,28.3
Female,2010,40.3 [33.9-46.7],Middle East,40.3
Both sexes,2011,31.8 [26.8-37.0],Middle East,31.8
Male,2011,29.0 [22.8-35.5],Middle East,29.0
Female,2011,40.8 [34.2-47.2],Middle East,40.8
Both sexes,2012,32.4 [27.3-37.7],Middle East,32.4
Male,2012,29.7 [23.3-36.4],Middle East,29.7
Female,2012,41.3 [34.5-47.8],Middle East,41.3
Both sexes,2013,33.1 [27.9-38.6],Middle East,33.1
Male,2013,30.4 [23.8-37.3],Middle East,30.4
Female,2013,41.7 [34.8-48.4],Middle East,41.7
Both sexes,2014,33.8 [28.4-39.5],Middle East,33.8
Male,2014,31.1 [24.3-38.2],Middle East,31.1
Female,2014,42.2 [35.0-49.0],Middle East,42.2
Both sexes,2015,34.5 [28.9-40.3],Middle East,34.5
Male,2015,31.8 [24.7-39.1],Middle East,31.8
Female,2015,42.6 [35.2-49.8],Middle East,42.6
Both sexes,2016,35.1 [29.3-41.2],Middle East,35.1
Male,2016,32.5 [25.0-40.2],Middle East,32.5
Female,2016,43.1 [35.4-50.5],Middle East,43.1
