Sex,Year,Obesity (%),Region,BMI
Female,2006,26.0 [22.3-29.8],Oceania,26.0
Both sexes,2007,25.5 [22.9-28.2],Oceania,25.5
Male,2007,24.4 [20.7-28.5],Oceania,24.4
Female,2007,26.5 [22.8-30.4],Oceania,26.5
Both sexes,2008,26.1 [23.4-28.8],Oceania,26.1
Male,2008,25.0 [21.2-29.1],Oceania,25.0
Female,2008,27.1 [23.3-30.9],Oceania,27.1
Both sexes,2009,26.6 [24.0-29.4],Oceania,26.6
Male,2009,25.6 [21.9-29.7],Oceania,25.6
Female,2009,27.6 [23.8-31.5],Oceania,27.6
Both sexes,2010,27.2 [24.5-30.0],Oceania,27.2
Male,2010,26.2 [22.4-30.3],Oceania,26.2
Female,2010,28.1 [24.3-32.2],Oceania,28.1
Both sexes,2011,27.8 [25.0-30.7],Oceania,27.8
Male,2011,26.9 [23.0-31.1],Oceania,26.9
Female,2011,28.7 [24.7-32.8],Oceania,28.7
Both sexes,2012,28.4 [25.5-31.3],Oceania,28.4
Male,2012,27.5 [23.6-31.9],Oceania,27.5
Female,2012,29.2 [25.2-33.5],Oceania,29.2
Both sexes,2013,29.0 [26.0-32.0],Oceania,29.0
Male,2013,28.1 [24.0-32.6],Oceania,28.1
Female,2013,29.8 [25.5-34.3],Oceania,29.8
Both sexes,2014,29.6 [26.5-32.7],Oceania,29.6
Male,2014,28.8 [24.4-33.5],Oceania,28.8
Female,2014,30.3 [25.9-35.0],Oceania,30.3
Both sexes,2015,30.2 [26.9-33.5],Oceania,30.2
Male,2015,29.4 [24.8-34.4],Oceania,29.4
Female,2015,30.9 [26.3-35.8],Oceania,30.9
Both sexes,2016,30.8 [27.3-34.3],Oceania,30.8
Male,2016,30.1 [25.2-35.3],Oceania,30.1
Female,2016,31.4 [26.5-36.5],Oceania,31.4
