Sex,Year,Obesity (%),Region,BMI
Female,2006,29.8 [23.2-36.8],Oceania,29.8
Both sexes,2007,24.8 [20.0-29.6],Oceania,24.8
Male,2007,19.3 [13.2-26.0],Oceania,19.3
Female,2007,30.4 [23.8-37.3],Oceania,30.4
Both sexes,2008,25.4 [20.5-30.2],Oceania,25.4
Male,2008,19.9 [13.7-26.7],Oceania,19.9
Female,2008,30.9 [24.3-37.9],Oceania,30.9
Both sexes,2009,26.0 [21.0-30.9],Oceania,26.0
Male,2009,20.5 [14.1-27.4],Oceania,20.5
Female,2009,31.5 [24.7-38.6],Oceania,31.5
Both sexes,2010,26.5 [21.6-31.5],Oceania,26.5
Male,2010,21.1 [14.7-28.2],Oceania,21.1
Female,2010,32.0 [25.1-39.2],Oceania,32.0
Both sexes,2011,27.1 [22.1-32.1],Oceania,27.1
Male,2011,21.7 [15.2-28.9],Oceania,21.7
Female,2011,32.6 [25.5-39.9],Oceania,32.6
Both sexes,2012,27.7 [22.7-32.8],Oceania,27.7
Male,2012,22.4 [15.7-29.8],Oceania,22.4
Female,2012,33.1 [25.8-40.6],Oceania,33.1
Both sexes,2013,28.3 [23.2-33.6],Oceania,28.3
Male,2013,23.0 [16.1-30.7],Oceania,23.0
Female,2013,33.6 [26.2-41.2],Oceania,33.6
Both sexes,2014,28.9 [23.7-34.4],Oceania,28.9
Male,2014,23.7 [16.6-31.5],Oceania,23.7
Female,2014,34.2 [26.5-41.9],Oceania,34.2
Both sexes,2015,29.5 [24.1-35.2],Oceania,29.5
Male,2015,24.4 [17.0-32.4],Oceania,24.4
Female,2015,34.7 [26.8-42.7],Oceania,34.7
Both sexes,2016,30.2 [24.5-36.0],Oceania,30.2
Male,2016,25.1 [17.4-33.3],Oceania,25.1
Female,2016,35.3 [27.0-43.5],Oceania,35.3
