Sex,Year,Obesity (%),Region,BMI
Female,2005,25.5 [20.2-31.1],Caribbean,25.5
Both sexes,2006,19.9 [16.5-23.4],Caribbean,19.9
Male,2006,13.8 [9.7-18.4],Caribbean,13.8
Female,2006,25.9 [20.6-31.6],Caribbean,25.9
Both sexes,2007,20.3 [16.9-23.9],Caribbean,20.3
Male,2007,14.3 [10.0-18.9],Caribbean,14.3
Female,2007,26.3 [21.0-32.1],Caribbean,26.3
Both sexes,2008,20.8 [17.3-24.4],Caribbean,20.8
Male,2008,14.7 [10.4-19.5],Caribbean,14.7
Female,2008,26.8 [21.3-32.5],Caribbean,26.8
Both sexes,2009,21.2 [17.7-25.0],Caribbean,21.2
Male,2009,15.2 [10.8-20.0],Caribbean,15.2
Female,2009,27.2 [21.6-33.0],Caribbean,27.2
Both sexes,2010,21.7 [18.0-25.5],Caribbean,21.7
Male,2010,15.7 [11.1-20.7],Caribbean,15.7
Female,2010,27.6 [22.0-33.7],Caribbean,27.6
Both sexes,2011,22.2 [18.4-26.0],Caribbean,22.2
Male,2011,16.2 [11.5-21.4],Caribbean,16.2
Female,2011,28.1 [22.2-34.3],Caribbean,28.1
Both sexes,2012,22.6 [18.7-26.7],Caribbean,22.6
Male,2012,16.7 [11.9-22.1],Caribbean,16.7
Female,2012,28.5 [22.5-34.9],Caribbean,28.5
Both sexes,2013,23.1 [19.1-27.3],Caribbean,23.1
Male,2013,17.3 [12.2-22.8],Caribbean,17.3
Female,2013,29.0 [22.8-35.5],Caribbean,29.0
Both sexes,2014,23.6 [19.4-28.0],Caribbean,23.6
Male,2014,17.8 [12.5-23.5],Caribbean,17.8
Female,2014,29.4 [23.0-36.2],Caribbean,29.4
Both sexes,2015,24.1 [19.8-28.7],Caribbean,24.1
Male,2015,18.4 [12.8-24.4],Caribbean,18.4
Female,2015,29.9 [23.3-36.9],Caribbean,29.9
Both sexes,2016,24.6 [20.1-29.4],Caribbean,24.6
Male,2016,18.9 [13.0-25.3],Caribbean,18.9
Female,2016,30.3 [23.5-37.7],Caribbean,30.3
