Sex,Year,Obesity (%),Region,BMI
Female,2006,24.4 [19.3-29.8],Middle East,24.4
Both sexes,2007,23.3 [19.7-27.1],Middle East,23.3
Male,2007,21.8 [16.9-27.4],Middle East,21.8
Female,2007,24.6 [19.4-30.0],Middle East,24.6
Both sexes,2008,23.6 [19.9-27.5],Middle East,23.6
Male,2008,22.3 [17.2-27.9],Middle East,22.3
Female,2008,24.8 [19.5-30.4],Middle East,24.8
Both sexes,2009,23.9 [20.1-27.8],Middle East,23.9
Male,2009,22.7 [17.5-28.6],Middle East,22.7
Female,2009,24.9 [19.6-30.7],Middle East,24.9
Both sexes,2010,24.2 [20.3-28.2],Middle East,24.2
Male,2010,23.1 [17.8-29.0],Middle East,23.1
Female,2010,25.1 [19.6-30.9],Middle East,25.1
Both sexes,2011,24.5 [20.6-28.7],Middle East,24.5
Male,2011,23.6 [18.0-29.6],Middle East,23.6
Female,2011,25.3 [19.7-31.2],Middle East,25.3
Both sexes,2012,24.8 [20.7-29.2],Middle East,24.8
Male,2012,24.0 [18.3-30.2],Middle East,24.0
Female,2012,25.5 [19.7-31.6],Middle East,25.5
Both sexes,2013,25.1 [20.9-29.6],Middle East,25.1
Male,2013,24.5 [18.5-30.8],Middle East,24.5
Female,2013,25.7 [19.7-32.0],Middle East,25.7
Both sexes,2014,25.5 [21.1-30.1],Middle East,25.5
Male,2014,24.9 [18.8-31.6],Middle East,24.9
Female,2014,25.9 [19.7-32.4],Middle East,25.9
Both sexes,2015,25.8 [21.3-30.6],Middle East,25.8
Male,2015,25.4 [18.9-32.3],Middle East,25.4
Female,2015,26.1 [19.7-32.9],Middle East,26.1
Both sexes,2016,26.1 [21.4-31.1],Middle East,26.1
Male,2016,25.9 [19.0-33.2],Middle East,25.9
Female,2016,26.2 [19.7-33.3],Middle East,26.2
