Sex,Year,Obesity (%),Region,BMI
Female,2006,32.8 [27.0-38.7],Middle East,32.8
Both sexes,2007,25.4 [21.4-29.5],Middle East,25.4
Male,2007,20.6 [15.2-26.3],Middle East,20.6
Female,2007,33.2 [27.3-39.1],Middle East,33.2
Both sexes,2008,25.8 [21.7-29.9],Middle East,25.8
Male,2008,21.1 [15.6-26.9],Middle East,21.1
Female,2008,33.5 [27.6-39.6],Middle East,33.5
Both sexes,2009,26.2 [22.0-30.4],Middle East,26.2
Male,2009,21.6 [16.0-27.5],Middle East,21.6
Female,2009,33.9 [27.8-40.1],Middle East,33.9
Both sexes,2010,26.6 [22.3-31.1],Middle East,26.6
Male,2010,22.2 [16.4-28.2],Middle East,22.2
Female,2010,34.3 [28.1-40.6],Middle East,34.3
Both sexes,2011,27.1 [22.7-31.6],Middle East,27.1
Male,2011,22.7 [16.7-28.8],Middle East,22.7
Female,2011,34.7 [28.4-41.2],Middle East,34.7
Both sexes,2012,27.6 [23.1-32.2],Middle East,27.6
Male,2012,23.2 [17.1-29.5],Middle East,23.2
Female,2012,35.1 [28.6-41.8],Middle East,35.1
Both sexes,2013,28.2 [23.5-32.9],Middle East,28.2
Male,2013,23.8 [17.5-30.2],Middle East,23.8
Female,2013,35.6 [28.7-42.4],Middle East,35.6
Both sexes,2014,28.8 [23.9-33.7],Middle East,28.8
Male,2014,24.4 [17.8-31.0],Middle East,24.4
Female,2014,36.0 [28.9-43.1],Middle East,36.0
Both sexes,2015,29.3 [24.2-34.5],Middle East,29.3
Male,2015,24.9 [18.1-31.9],Middle East,24.9
Female,2015,36.4 [29.1-43.9],Middle East,36.4
Both sexes,2016,29.8 [24.6-35.2],Middle East,29.8
Male,2016,25.5 [18.3-32.7],Middle East,25.5
Female,2016,36.8 [29.2-44.6],Middle East,36.8
