Sex,Year,Obesity (%),Region,BMI
Female,2006,23.8 [17.6-30.9],Oceania,23.8
Both sexes,2007,19.5 [15.3-24.3],Oceania,19.5
Male,2007,14.8 [9.0-21.5],Oceania,14.8
Female,2007,24.4 [18.1-31.6],Oceania,24.4
Both sexes,2008,20.1 [15.8-25.0],Oceania,20.1
Male,2008,15.3 [9.5-22.2],Oceania,15.3
Female,2008,25.0 [18.7-32.2],Oceania,25.0
Both sexes,2009,20.7 [16.3-25.6],Oceania,20.7
Male,2009,15.9 [9.9-22.8],Oceania,15.9
Female,2009,25.7 [19.1-33.0],Oceania,25.7
Both sexes,2010,21.3 [16.8-26.3],Oceania,21.3
Male,2010,16.4 [10.3-23.5],Oceania,16.4
Female,2010,26.3 [19.6-33.8],Oceania,26.3
Both sexes,2011,22.0 [17.2-27.0],Oceania,22.0
Male,2011,17.0 [10.8-24.2],Oceania,17.0
Female,2011,26.9 [20.1-34.5],Oceania,26.9
Both sexes,2012,22.6 [17.8-27.7],Oceania,22.6
Male,2012,17.6 [11.3-25.0],Oceania,17.6
Female,2012,27.5 [20.5-35.4],Oceania,27.5
Both sexes,2013,23.2 [18.2-28.5],Oceania,23.2
Male,2013,18.2 [11.7-25.8],Oceania,18.2
Female,2013,28.2 [20.9-36.2],Oceania,28.2
Both sexes,2014,23.9 [18.7-29.3],Oceania,23.9
Male,2014,18.9 [12.1-26.7],Oceania,18.9
Female,2014,28.8 [21.3-37.1],Oceania,28.8
Both sexes,2015,24.5 [19.1-30.1],Oceania,24.5
Male,2015,19.5 [12.5-27.7],Oceania,19.5
Female,2015,29.4 [21.7-37.9],Oceania,29.4
Both sexes,2016,25.2 [19.6-31.0],Oceania,25.2
Male,2016,20.2 [12.9-28.6],Oceania,20.2
Female,2016,30.1 [22.1-38.8],Oceania,30.1
