Sex,Year,Obesity (%),Region,BMI
Female,2006,19.3 [13.8-25.2],Balkans,19.3
Both sexes,2007,18.8 [14.8-23.2],Balkans,18.8
Male,2007,18.0 [12.2-24.4],Balkans,18.0
Female,2007,19.5 [14.0-25.5],Balkans,19.5
Both sexes,2008,19.1 [15.1-23.6],Balkans,19.1
Male,2008,18.4 [12.6-24.9],Balkans,18.4
Female,2008,19.8 [14.1-25.8],Balkans,19.8
Both sexes,2009,19.4 [15.3-24.0],Balkans,19.4
Male,2009,18.8 [12.9-25.5],Balkans,18.8
Female,2009,20.0 [14.2-26.2],Balkans,20.0
Both sexes,2010,19.8 [15.5-24.4],Balkans,19.8
Male,2010,19.2 [13.2-26.0],Balkans,19.2
Female,2010,20.2 [14.3-26.5],Balkans,20.2
Both sexes,2011,20.1 [15.7-24.8],Balkans,20.1
Male,2011,19.6 [13.5-26.5],Balkans,19.6
Female,2011,20.5 [14.5-26.9],Balkans,20.5
Both sexes,2012,20.4 [15.9-25.3],Balkans,20.4
Male,2012,20.1 [13.7-27.2],Balkans,20.1
Female,2012,20.7 [14.5-27.2],Balkans,20.7
Both sexes,2013,20.7 [16.1-25.8],Balkans,20.7
Male,2013,20.5 [14.0-27.9],Balkans,20.5
Female,2013,20.9 [14.6-27.7],Balkans,20.9
Both sexes,2014,21.1 [16.4-26.3],Balkans,21.1
Male,2014,20.9 [14.2-28.6],Balkans,20.9
Female,2014,21.1 [14.8-28.0],Balkans,21.1
Both sexes,2015,21.4 [16.6-26.8],Balkans,21.4
Male,2015,21.4 [14.4-29.3],Balkans,21.4
Female,2015,21.4 [14.9-28.6],Balkans,21.4
Both sexes,2016,21.8 [16.7-27.4],Balkans,21.8
Male,2016,21.9 [14.6-30.0],Balkans,21.9
Female,2016,21.6 [15.0-29.1],Balkans,21.6
