Sex,Year,Obesity (%),Region,BMI
Female,2006,48.4 [40.9-55.7],Oceania,48.4
Both sexes,2007,42.8 [37.2-48.3],Oceania,42.8
Male,2007,36.7 [28.6-45.1],Oceania,36.7
Female,2007,49.1 [41.5-56.4],Oceania,49.1
Both sexes,2008,43.6 [38.1-49.0],Oceania,43.6
Male,2008,37.6 [29.5-46.0],Oceania,37.6
Female,2008,49.8 [42.2-57.1],Oceania,49.8
Both sexes,2009,44.4 [38.8-49.8],Oceania,44.4
Male,2009,38.5 [30.3-46.9],Oceania,38.5
Female,2009,50.4 [42.9-57.9],Oceania,50.4
Both sexes,2010,45.2 [39.6-50.6],Oceania,45.2
Male,2010,39.4 [31.1-47.8],Oceania,39.4
Female,2010,51.1 [43.6-58.5],Oceania,51.1
Both sexes,2011,46.0 [40.4-51.4],Oceania,46.0
Male,2011,40.3 [31.9-48.8],Oceania,40.3
Female,2011,51.8 [44.3-59.2],Oceania,51.8
Both sexes,2012,46.8 [41.0-52.2],Oceania,46.8
Male,2012,41.2 [32.7-49.6],Oceania,41.2
Female,2012,52.5 [44.8-59.9],Oceania,52.5
Both sexes,2013,47.6 [41.7-53.2],Oceania,47.6
Male,2013,42.1 [33.5-50.7],Oceania,42.1
Female,2013,53.2 [45.3-60.7],Oceania,53.2
Both sexes,2014,48.4 [42.4-54.0],Oceania,48.4
Male,2014,43.0 [34.2-51.8],Oceania,43.0
Female,2014,53.8 [45.9-61.5],Oceania,53.8
Both sexes,2015,49.2 [43.1-54.9],Oceania,49.2
Male,2015,43.9 [34.9-52.9],Oceania,43.9
Female,2015,54.5 [46.3-62.4],Oceania,54.5
Both sexes,2016,50.0 [43.7-55.8],Oceania,50.0
Male,2016,44.8 [35.6-54.0],Oceania,44.8
Female,2016,55.1 [46.9-63.2],Oceania,55.1
