Sex,Year,Obesity (%),Region,BMI
Male,2011,13.9 [8.1-21.1],Oceania,13.9
Female,2011,22.8 [15.7-30.4],Oceania,22.8
Both sexes,2012,19.0 [14.1-24.5],Oceania,19.0
Male,2012,14.4 [8.4-21.7],Oceania,14.4
Female,2012,23.4 [16.1-31.2],Oceania,23.4
Both sexes,2013,19.6 [14.4-25.1],Oceania,19.6
Male,2013,15.0 [8.6-22.4],Oceania,15.0
Female,2013,23.9 [16.5-31.9],Oceania,23.9
Both sexes,2014,20.1 [14.8-25.8],Oceania,20.1
Male,2014,15.5 [8.9-23.3],Oceania,15.5
Female,2014,24.5 [16.8-32.8],Oceania,24.5
Both sexes,2015,20.7 [15.2-26.7],Oceania,20.7
Male,2015,16.0 [9.2-24.3],Oceania,16.0
Female,2015,25.1 [17.2-33.7],Oceania,25.1
Both sexes,2016,21.3 [15.6-27.5],Oceania,21.3
Male,2016,16.6 [9.5-25.2],Oceania,16.6
Female,2016,25.8 [17.5-34.6],Oceania,25.8
