Sex,Year,Obesity (%),Region,BMI
Female,2006,20.0 [14.1-26.5],Balkans,20.0
Both sexes,2007,19.5 [15.3-24.2],Balkans,19.5
Male,2007,18.6 [12.5-25.2],Balkans,18.6
Female,2007,20.4 [14.4-26.9],Balkans,20.4
Both sexes,2008,20.0 [15.7-24.7],Balkans,20.0
Male,2008,19.1 [12.9-25.9],Balkans,19.1
Female,2008,20.7 [14.7-27.3],Balkans,20.7
Both sexes,2009,20.4 [16.0-25.1],Balkans,20.4
Male,2009,19.6 [13.3-26.6],Balkans,19.6
Female,2009,21.0 [15.0-27.7],Balkans,21.0
Both sexes,2010,20.8 [16.3-25.7],Balkans,20.8
Male,2010,20.2 [13.7-27.2],Balkans,20.2
Female,2010,21.3 [15.2-28.1],Balkans,21.3
Both sexes,2011,21.2 [16.6-26.2],Balkans,21.2
Male,2011,20.7 [14.1-27.8],Balkans,20.7
Female,2011,21.6 [15.4-28.5],Balkans,21.6
Both sexes,2012,21.6 [16.9-26.7],Balkans,21.6
Male,2012,21.2 [14.5-28.4],Balkans,21.2
Female,2012,21.9 [15.5-28.9],Balkans,21.9
Both sexes,2013,22.0 [17.2-27.2],Balkans,22.0
Male,2013,21.7 [14.8-29.1],Balkans,21.7
Female,2013,22.2 [15.7-29.4],Balkans,22.2
Both sexes,2014,22.4 [17.4-27.7],Balkans,22.4
Male,2014,22.2 [15.1-29.8],Balkans,22.2
Female,2014,22.5 [15.8-29.8],Balkans,22.5
Both sexes,2015,22.8 [17.7-28.3],Balkans,22.8
Male,2015,22.7 [15.4-30.5],Balkans,22.7
Female,2015,22.8 [15.9-30.3],Balkans,22.8
Both sexes,2016,23.3 [17.9-28.9],Balkans,23.3
Male,2016,23.3 [15.7-31.4],Balkans,23.3
Female,2016,23.1 [15.9-30.9],Balkans,23.1
