Sex,Year,Obesity (%),Region,BMI
Female,2006,49.8 [41.7-57.6],Oceania,49.8
Both sexes,2007,44.7 [38.7-50.3],Oceania,44.7
Male,2007,38.9 [31.0-47.3],Oceania,38.9
Female,2007,50.5 [42.4-58.2],Oceania,50.5
Both sexes,2008,45.5 [39.6-51.1],Oceania,45.5
Male,2008,39.8 [31.8-48.3],Oceania,39.8
Female,2008,51.2 [43.1-58.9],Oceania,51.2
Both sexes,2009,46.2 [40.4-52.0],Oceania,46.2
Male,2009,40.7 [32.6-49.2],Oceania,40.7
Female,2009,51.8 [43.7-59.7],Oceania,51.8
Both sexes,2010,47.0 [41.1-52.9],Oceania,47.0
Male,2010,41.7 [33.5-50.2],Oceania,41.7
Female,2010,52.5 [44.4-60.3],Oceania,52.5
Both sexes,2011,47.8 [41.8-53.7],Oceania,47.8
Male,2011,42.6 [34.3-51.2],Oceania,42.6
Female,2011,53.2 [44.9-61.0],Oceania,53.2
Both sexes,2012,48.6 [42.4-54.5],Oceania,48.6
Male,2012,43.5 [35.1-52.3],Oceania,43.5
Female,2012,53.8 [45.5-61.7],Oceania,53.8
Both sexes,2013,49.4 [43.1-55.4],Oceania,49.4
Male,2013,44.4 [35.8-53.3],Oceania,44.4
Female,2013,54.4 [46.0-62.4],Oceania,54.4
Both sexes,2014,50.1 [43.8-56.2],Oceania,50.1
Male,2014,45.3 [36.5-54.3],Oceania,45.3
Female,2014,55.0 [46.5-63.1],Oceania,55.0
Both sexes,2015,50.9 [44.4-57.0],Oceania,50.9
Male,2015,46.2 [37.1-55.4],Oceania,46.2
Female,2015,55.6 [46.9-63.8],Oceania,55.6
Both sexes,2016,51.6 [45.0-57.9],Oceania,51.6
Male,2016,47.0 [37.7-56.4],Oceania,47.0
Female,2016,56.2 [47.3-64.4],Oceania,56.2
