Sex,Year,Obesity (%),Region,BMI
Female,2006,15.5 [11.2-20.4],Balkans,15.5
Both sexes,2007,14.6 [11.5-18.0],Balkans,14.6
Male,2007,13.3 [9.0-18.3],Balkans,13.3
Female,2007,15.7 [11.4-20.7],Balkans,15.7
Both sexes,2008,14.9 [11.8-18.3],Balkans,14.9
Male,2008,13.7 [9.4-18.6],Balkans,13.7
Female,2008,16.0 [11.6-21.0],Balkans,16.0
Both sexes,2009,15.3 [12.1-18.7],Balkans,15.3
Male,2009,14.1 [9.6-19.1],Balkans,14.1
Female,2009,16.3 [11.8-21.4],Balkans,16.3
Both sexes,2010,15.6 [12.4-19.1],Balkans,15.6
Male,2010,14.5 [9.9-19.6],Balkans,14.5
Female,2010,16.5 [12.0-21.8],Balkans,16.5
Both sexes,2011,16.0 [12.7-19.6],Balkans,16.0
Male,2011,14.9 [10.2-20.1],Balkans,14.9
Female,2011,16.8 [12.2-22.2],Balkans,16.8
Both sexes,2012,16.3 [13.0-20.1],Balkans,16.3
Male,2012,15.3 [10.5-20.7],Balkans,15.3
Female,2012,17.1 [12.3-22.6],Balkans,17.1
Both sexes,2013,16.7 [13.2-20.6],Balkans,16.7
Male,2013,15.8 [10.8-21.3],Balkans,15.8
Female,2013,17.4 [12.4-23.1],Balkans,17.4
Both sexes,2014,17.1 [13.5-21.1],Balkans,17.1
Male,2014,16.2 [11.1-22.0],Balkans,16.2
Female,2014,17.8 [12.6-23.6],Balkans,17.8
Both sexes,2015,17.5 [13.7-21.7],Balkans,17.5
Male,2015,16.7 [11.4-22.7],Balkans,16.7
Female,2015,18.1 [12.7-24.2],Balkans,18.1
Both sexes,2016,17.9 [13.9-22.3],Balkans,17.9
Male,2016,17.1 [11.6-23.5],Balkans,17.1
Female,2016,18.4 [12.8-24.9],Balkans,18.4
