Sex,Year,Obesity (%),Region,BMI
Female,2006,31.7 [25.6-38.1],Middle East,31.7
Both sexes,2007,25.4 [21.4-29.4],Middle East,25.4
Male,2007,18.1 [13.0-23.5],Middle East,18.1
Female,2007,32.2 [26.0-38.5],Middle East,32.2
Both sexes,2008,25.9 [21.8-30.0],Middle East,25.9
Male,2008,18.7 [13.5-24.2],Middle East,18.7
Female,2008,32.7 [26.5-39.0],Middle East,32.7
Both sexes,2009,26.4 [22.3-30.5],Middle East,26.4
Male,2009,19.2 [13.9-24.7],Middle East,19.2
Female,2009,33.2 [27.0-39.5],Middle East,33.2
Both sexes,2010,26.9 [22.7-31.2],Middle East,26.9
Male,2010,19.7 [14.4-25.4],Middle East,19.7
Female,2010,33.7 [27.4-40.1],Middle East,33.7
Both sexes,2011,27.5 [23.3-31.8],Middle East,27.5
Male,2011,20.3 [14.9-26.1],Middle East,20.3
Female,2011,34.3 [27.8-40.7],Middle East,34.3
Both sexes,2012,28.0 [23.7-32.5],Middle East,28.0
Male,2012,20.9 [15.3-26.8],Middle East,20.9
Female,2012,34.8 [28.2-41.3],Middle East,34.8
Both sexes,2013,28.6 [24.2-33.2],Middle East,28.6
Male,2013,21.5 [15.7-27.6],Middle East,21.5
Female,2013,35.3 [28.7-42.0],Middle East,35.3
Both sexes,2014,29.2 [24.6-33.9],Middle East,29.2
Male,2014,22.1 [16.2-28.5],Middle East,22.1
Female,2014,35.9 [29.0-42.8],Middle East,35.9
Both sexes,2015,29.8 [25.1-34.6],Middle East,29.8
Male,2015,22.8 [16.7-29.4],Middle East,22.8
Female,2015,36.4 [29.4-43.6],Middle East,36.4
Both sexes,2016,30.4 [25.5-35.5],Middle East,30.4
Male,2016,23.4 [17.0-30.4],Middle East,23.4
Female,2016,37.0 [29.7-44.3],Middle East,37.0
