Country,Obesity (%),BMI,Region
Micronesia (Federated States of),40.1 [31.1-49.2],40.1,Oceania
Monaco,No data,0.0,Western Europe
Mongolia,17.5 [11.9-23.9],17.5,Central Asia
Montenegro,23.3 [15.7-31.4],23.3,Balkans
Morocco,19.4 [12.9-26.7],19.4,North Africa
Mozambique,3.3 [1.6-5.9],3.3,Southern Africa
Myanmar,4.0 [2.2-6.6],4.0,Southeast Asia
Namibia,7.5 [4.2-12.0],7.5,Southern Africa
Nauru,58.7 [50.6-66.5],58.7,Oceania
Nepal,2.7 [1.4-4.5],2.7,South Asia
Netherlands,20.8 [15.6-26.4],20.8,Western Europe
New Zealand,30.1 [25.2-35.3],30.1,Oceania
Nicaragua,17.9 [11.6-25.3],17.9,Central America
Niger,2.5 [1.1-4.7],2.5,West Africa
Nigeria,4.6 [2.7-7.2],4.6,West Africa
Niue,44.8 [35.6-54.0],44.8,Oceania
Norway,23.6 [18.1-29.5],23.6,Northern Europe
Oman,22.9 [16.8-29.8],22.9,Middle East
Pakistan,6.0 [3.5-9.5],6.0,South Asia
Palau,51.8 [42.6-60.3],51.8,Oceania
Panama,17.8 [12.0-24.6],17.8,Central America
Papua New Guinea,16.6 [9.5-25.2],16.6,Oceania
Paraguay,17.1 [10.5-25.4],17.1,South America
Peru,15.2 [10.9-19.8],15.2,South America
Philippines,5.2 [2.9-8.4],5.2,Southeast Asia
Poland,23.7 [18.7-29.0],23.7,Eastern Europe
Portugal,20.3 [14.6-26.4],20.3,Southern Europe
Qatar,32.5 [25.0-40.2],32.5,Middle East
Republic of Korea,4.4 [3.0-6.3],4.4,East Asia
Republic of Moldova,16.2 [10.0-23.3],16.2,Eastern Europe
Republic of North Macedonia,22.6 [15.0-31.0],22.6,Balkans
Romania,23.4 [17.4-30.0],23.4,Eastern Europe
Russian Federation,18.1 [13.3-23.5],18.1,Eastern Europe
Rwanda,1.9 [0.8-3.6],1.9,East Africa
Saint Kitts and Nevis,15.3 [9.3-22.9],15.3,Caribbean
Saint Lucia,12.0 [6.9-18.5],12.0,Caribbean
Saint Vincent and the Grenadines,16.6 [10.1-24.3],16.6,Caribbean
Samoa,39.9 [31.3-49.0],39.9,Oceania
San Marino,No data,0.0,Southern Europe
Sao Tome and Principe,7.2 [4.0-11.6],7.2,Central Africa
Saudi Arabia,30.8 [24.8-37.0],30.8,Middle East
Senegal,4.0 [2.0-6.8],4.0,West Africa
Serbia,21.1 [15.5-27.2],21.1,Balkans
Seychelles,7.6 [4.1-12.3],7.6,Southern Africa
Sierra Leone,3.8 [1.9-6.5],3.8,West Africa
Singapore,5.8 [3.4-9.3],5.8,Southeast Asia
Slovakia,21.0 [15.0-27.9],21.0,Eastern Europe
Slovenia,19.4 [12.5-26.7],19.4,Balkans
Solomon Islands,17.9 [11.5-25.5],17.9,Oceania
Somalia,3.9 [1.8-7.3],3.9,East Africa
South Africa,15.4 [11.2-20.0],15.4,Southern Africa
South Sudan,No data,0.0,East Africa
Spain,24.6 [19.2-30.1],24.6,Southern Europe
Sri Lanka,2.9 [1.5-5.0],2.9,South Asia
Sudan,No data,0.0,North Africa
Sudan (former),3.8 [1.8-7.0],3.8,North Africa
Suriname,18.9 [12.5-26.5],18.9,South America
Sweden,23.1 [17.9-28.6],23.1,Northern Europe
Switzerland,22.2 [17.0-27.8],22.2,Western Europe
Syrian Arab Republic,20.9 [14.1-28.6],20.9,Middle East
Tajikistan,11.6 [6.7-17.9],11.6,Central Asia
Thailand,7.0 [4.2-10.8],7.0,Southeast Asia
Timor-Leste,2.6 [1.2-4.8],2.6,Southeast Asia
Togo,3.9 [1.9-6.8],3.9,West Africa
Tonga,41.4 [32.2-50.5],41.4,Oceania
Trinidad and Tobago,10.8 [5.7-17.8],10.8,Caribbean
Tunisia,19.1 [13.1-25.7],19.1,North Africa
Turkey,24.4 [19.2-29.8],24.4,Middle East
Turkmenistan,15.9 [10.0-23.0],15.9,Central Asia
Tuvalu,47.0 [37.7-56.4],47.0,Oceania
Uganda,1.8 [0.9-3.3],1.8,East Africa
Ukraine,22.0 [14.2-30.7],22.0,Eastern Europe
United Arab Emirates,27.5 [20.3-35.0],27.5,Middle East
United Kingdom of Great Britain and Northern Ireland,26.9 [22.9-30.9],26.9,Western Europe
United Republic of Tanzania,4.0 [2.1-6.6],4.0,East Africa
United States of America,35.5 [30.0-41.2],35.5,North America
Uruguay,24.9 [18.0-32.4],24.9,South America
Uzbekistan,13.8 [8.4-20.3],13.8,Central Asia
Vanuatu,20.2 [12.9-28.6],20.2,Oceania
Venezuela (Bolivarian Republic of),22.4 [16.4-28.9],22.4,South America
Viet Nam,1.6 [0.8-2.8],1.6,Southeast Asia
Yemen,12.0 [7.3-17.6],12.0,Middle East
Zambia,3.6 [1.7-6.5],3.6,Southern Africa
Zimbabwe,4.7 [2.5-8.0],4.7,Southern Africa
