,Country,Sex,Year,Obesity (%),Region,BMI
7680,Fiji,Both sexes,2015,29.5 [24.1-35.2],Oceania,29.5
7681,Fiji,Male,2015,24.4 [17.0-32.4],Oceania,24.4
7682,Fiji,Female,2015,34.7 [26.8-42.7],Oceania,34.7
7683,Fiji,Both sexes,2016,30.2 [24.5-36.0],Oceania,30.2
7684,Fiji,Male,2016,25.1 [17.4-33.3],Oceania,25.1
7685,Fiji,Female,2016,35.3 [27.0-43.5],Oceania,35.3
11340,Kiribati,Both sexes,1975,15.9 [10.6-22.1],Oceania,15.9
11341,Kiribati,Male,1975,11.9 [5.9-20.4],Oceania,11.9
11342,Kiribati,Female,1975,20.2 [11.8-30.3],Oceania,20.2
11343,Kiribati,Both sexes,1976,16.7 [11.4-22.7],Oceania,16.7
11344,Kiribati,Male,1976,12.5 [6.5-20.7],Oceania,12.5
11345,Kiribati,Female,1976,21.1 [12.8-30.9],Oceania,21.1
11346,Kiribati,Both sexes,1977,17.5 [12.3-23.5],Oceania,17.5
11347,Kiribati,Male,1977,13.1 [7.1-21.2],Oceania,13.1
11348,Kiribati,Female,1977,22.0 [13.7-31.6],Oceania,22.0
11349,Kiribati,Both sexes,1978,18.2 [13.0-24.2],Oceania,18.2
11350,Kiribati,Male,1978,13.7 [7.6-21.6],Oceania,13.7
11351,Kiribati,Female,1978,22.9 [14.7-32.2],Oceania,22.9
11352,Kiribati,Both sexes,1979,19.0 [13.8-24.8],Oceania,19.0
11353,Kiribati,Male,1979,14.4 [8.2-22.1],Oceania,14.4
11354,Kiribati,Female,1979,23.8 [15.7-32.9],Oceania,23.8
11355,Kiribati,Both sexes,1980,19.8 [14.7-25.5],Oceania,19.8
11356,Kiribati,Male,1980,15.0 [8.8-22.8],Oceania,15.0
11357,Kiribati,Female,1980,24.7 [16.6-33.6],Oceania,24.7
11358,Kiribati,Both sexes,1981,20.5 [15.4-26.2],Oceania,20.5
11359,Kiribati,Male,1981,15.6 [9.4-23.3],Oceania,15.6
11360,Kiribati,Female,1981,25.6 [17.6-34.3],Oceania,25.6
11361,Kiribati,Both sexes,1982,21.2 [16.1-26.9],Oceania,21.2
11362,Kiribati,Male,1982,16.2 [10.0-23.9],Oceania,16.2
11363,Kiribati,Female,1982,26.4 [18.5-34.9],Oceania,26.4
11364,Kiribati,Both sexes,1983,21.9 [16.8-27.5],Oceania,21.9
11365,Kiribati,Male,1983,16.8 [10.6-24.4],Oceania,16.8
11366,Kiribati,Female,1983,27.2 [19.3-35.7],Oceania,27.2
11367,Kiribati,Both sexes,1984,22.6 [17.5-28.1],Oceania,22.6
11368,Kiribati,Male,1984,17.5 [11.1-25.0],Oceania,17.5
11369,Kiribati,Female,1984,28.0 [20.1-36.4],Oceania,28.0
11370,Kiribati,Both sexes,1985,23.2 [18.2-28.8],Oceania,23.2
11371,Kiribati,Male,1985,18.1 [11.7-25.6],Oceania,18.1
11372,Kiribati,Female,1985,28.8 [20.9-37.1],Oceania,28.8
11373,Kiribati,Both sexes,1986,23.9 [18.9-29.4],Oceania,23.9
11374,Kiribati,Male,1986,18.7 [12.2-26.3],Oceania,18.7
11375,Kiribati,Female,1986,29.5 [21.7-37.8],Oceania,29.5
11376,Kiribati,Both sexes,1987,24.6 [19.6-30.1],Oceania,24.6
11377,Kiribati,Male,1987,19.4 [12.9-27.0],Oceania,19.4
11378,Kiribati,Female,1987,30.3 [22.5-38.5],Oceania,30.3
11379,Kiribati,Both sexes,1988,25.3 [20.2-30.8],Oceania,25.3
11380,Kiribati,Male,1988,20.0 [13.4-27.7],Oceania,20.0
11381,Kiribati,Female,1988,31.1 [23.3-39.2],Oceania,31.1
11382,Kiribati,Both sexes,1989,26.0 [20.9-31.6],Oceania,26.0
11383,Kiribati,Male,1989,20.7 [14.0-28.4],Oceania,20.7
11384,Kiribati,Female,1989,31.8 [24.0-40.0],Oceania,31.8
11385,Kiribati,Both sexes,1990,26.7 [21.7-32.3],Oceania,26.7
11386,Kiribati,Male,1990,21.3 [14.7-29.0],Oceania,21.3
11387,Kiribati,Female,1990,32.6 [24.8-40.7],Oceania,32.6
11388,Kiribati,Both sexes,1991,27.4 [22.4-32.9],Oceania,27.4
11389,Kiribati,Male,1991,22.0 [15.3-29.7],Oceania,22.0
11390,Kiribati,Female,1991,33.3 [25.6-41.3],Oceania,33.3
11391,Kiribati,Both sexes,1992,28.2 [23.1-33.7],Oceania,28.2
11392,Kiribati,Male,1992,22.7 [15.9-30.4],Oceania,22.7
11393,Kiribati,Female,1992,34.1 [26.4-42.0],Oceania,34.1
11394,Kiribati,Both sexes,1993,28.9 [23.8-34.4],Oceania,28.9
11395,Kiribati,Male,1993,23.4 [16.5-31.0],Oceania,23.4
11396,Kiribati,Female,1993,34.8 [27.0-42.7],Oceania,34.8
11397,Kiribati,Both sexes,1994,29.7 [24.5-35.2],Oceania,29.7
11398,Kiribati,Male,1994,24.1 [17.1-31.7],Oceania,24.1
11399,Kiribati,Female,1994,35.6 [27.8-43.4],Oceania,35.6
11400,Kiribati,Both sexes,1995,30.4 [25.2-35.9],Oceania,30.4
11401,Kiribati,Male,1995,24.9 [17.8-32.4],Oceania,24.9
11402,Kiribati,Female,1995,36.3 [28.5-44.0],Oceania,36.3
11403,Kiribati,Both sexes,1996,31.2 [26.0-36.6],Oceania,31.2
11404,Kiribati,Male,1996,25.6 [18.5-33.2],Oceania,25.6
11405,Kiribati,Female,1996,37.1 [29.3-44.8],Oceania,37.1
11406,Kiribati,Both sexes,1997,32.1 [26.9-37.4],Oceania,32.1
11407,Kiribati,Male,1997,26.5 [19.3-34.0],Oceania,26.5
11408,Kiribati,Female,1997,37.9 [30.2-45.5],Oceania,37.9
11409,Kiribati,Both sexes,1998,33.0 [27.8-38.3],Oceania,33.0
11410,Kiribati,Male,1998,27.3 [20.1-35.0],Oceania,27.3
11411,Kiribati,Female,1998,38.7 [31.1-46.3],Oceania,38.7
11412,Kiribati,Both sexes,1999,33.9 [28.7-39.3],Oceania,33.9
11413,Kiribati,Male,1999,28.3 [21.1-35.9],Oceania,28.3
11414,Kiribati,Female,1999,39.6 [32.0-47.1],Oceania,39.6
11415,Kiribati,Both sexes,2000,34.9 [29.7-40.2],Oceania,34.9
11416,Kiribati,Male,2000,29.2 [22.0-36.8],Oceania,29.2
11417,Kiribati,Female,2000,40.5 [32.9-47.9],Oceania,40.5
11418,Kiribati,Both sexes,2001,35.8 [30.6-41.0],Oceania,35.8
11419,Kiribati,Male,2001,30.1 [22.9-37.8],Oceania,30.1
11420,Kiribati,Female,2001,41.3 [33.8-48.8],Oceania,41.3
11421,Kiribati,Both sexes,2002,36.6 [31.4-41.9],Oceania,36.6
11422,Kiribati,Male,2002,31.0 [23.7-38.6],Oceania,31.0
11423,Kiribati,Female,2002,42.1 [34.6-49.6],Oceania,42.1
11424,Kiribati,Both sexes,2003,37.4 [32.3-42.7],Oceania,37.4
11425,Kiribati,Male,2003,31.9 [24.6-39.5],Oceania,31.9
11426,Kiribati,Female,2003,42.9 [35.4-50.3],Oceania,42.9
11427,Kiribati,Both sexes,2004,38.2 [33.0-43.4],Oceania,38.2
11428,Kiribati,Male,2004,32.7 [25.5-40.2],Oceania,32.7
11429,Kiribati,Female,2004,43.6 [36.2-51.0],Oceania,43.6
11430,Kiribati,Both sexes,2005,38.9 [33.8-44.1],Oceania,38.9
11431,Kiribati,Male,2005,33.5 [26.2-41.0],Oceania,33.5
11432,Kiribati,Female,2005,44.2 [36.9-51.7],Oceania,44.2
11433,Kiribati,Both sexes,2006,39.6 [34.4-44.9],Oceania,39.6
11434,Kiribati,Male,2006,34.3 [27.0-41.8],Oceania,34.3
11435,Kiribati,Female,2006,44.9 [37.6-52.3],Oceania,44.9
11436,Kiribati,Both sexes,2007,40.3 [35.1-45.6],Oceania,40.3
11437,Kiribati,Male,2007,35.1 [27.7-42.7],Oceania,35.1
11438,Kiribati,Female,2007,45.5 [38.2-52.9],Oceania,45.5
11439,Kiribati,Both sexes,2008,40.9 [35.7-46.3],Oceania,40.9
11440,Kiribati,Male,2008,35.8 [28.4-43.5],Oceania,35.8
11441,Kiribati,Female,2008,46.0 [38.7-53.5],Oceania,46.0
11442,Kiribati,Both sexes,2009,41.6 [36.2-46.9],Oceania,41.6
11443,Kiribati,Male,2009,36.5 [29.0-44.3],Oceania,36.5
11444,Kiribati,Female,2009,46.6 [39.2-54.2],Oceania,46.6
11445,Kiribati,Both sexes,2010,42.2 [36.7-47.7],Oceania,42.2
11446,Kiribati,Male,2010,37.2 [29.5-45.1],Oceania,37.2
11447,Kiribati,Female,2010,47.2 [39.7-54.8],Oceania,47.2
11448,Kiribati,Both sexes,2011,42.8 [37.3-48.3],Oceania,42.8
11449,Kiribati,Male,2011,37.9 [30.0-46.0],Oceania,37.9
11450,Kiribati,Female,2011,47.7 [40.1-55.4],Oceania,47.7
11451,Kiribati,Both sexes,2012,43.5 [37.8-49.0],Oceania,43.5
11452,Kiribati,Male,2012,38.7 [30.6-46.9],Oceania,38.7
11453,Kiribati,Female,2012,48.2 [40.4-56.0],Oceania,48.2
11454,Kiribati,Both sexes,2013,44.1 [38.3-49.8],Oceania,44.1
11455,Kiribati,Male,2013,39.4 [31.1-47.8],Oceania,39.4
11456,Kiribati,Female,2013,48.8 [40.8-56.7],Oceania,48.8
11457,Kiribati,Both sexes,2014,44.7 [38.7-50.5],Oceania,44.7
11458,Kiribati,Male,2014,40.1 [31.7-48.7],Oceania,40.1
11459,Kiribati,Female,2014,49.3 [41.3-57.4],Oceania,49.3
11460,Kiribati,Both sexes,2015,45.3 [39.2-51.3],Oceania,45.3
11461,Kiribati,Male,2015,40.8 [32.1-49.7],Oceania,40.8
11462,Kiribati,Female,2015,49.8 [41.6-58.2],Oceania,49.8
11463,Kiribati,Both sexes,2016,46.0 [39.7-52.1],Oceania,46.0
11464,Kiribati,Male,2016,41.6 [32.6-50.9],Oceania,41.6
11465,Kiribati,Female,2016,50.4 [41.9-59.0],Oceania,50.4
13482,Marshall Islands,Both sexes,1975,27.0 [20.2-34.4],Oceania,27.0
13483,Marshall Islands,Male,1975,20.1 [11.6-30.6],Oceania,20.1
13484,Marshall Islands,Female,1975,34.5 [24.1-45.3],Oceania,34.5
13485,Marshall Islands,Both sexes,1976,27.9 [21.2-35.1],Oceania,27.9
13486,Marshall Islands,Male,1976,20.9 [12.4-31.0],Oceania,20.9
13487,Marshall Islands,Female,1976,35.4 [25.3-46.0],Oceania,35.4
13488,Marshall Islands,Both sexes,1977,28.7 [22.2-35.7],Oceania,28.7
13489,Marshall Islands,Male,1977,21.6 [13.2-31.4],Oceania,21.6
13490,Marshall Islands,Female,1977,36.2 [26.4-46.5],Oceania,36.2
13491,Marshall Islands,Both sexes,1978,29.4 [23.0-36.2],Oceania,29.4
13492,Marshall Islands,Male,1978,22.3 [13.9-31.9],Oceania,22.3
13493,Marshall Islands,Female,1978,36.9 [27.3-47.0],Oceania,36.9
13494,Marshall Islands,Both sexes,1979,30.0 [23.7-36.7],Oceania,30.0
13495,Marshall Islands,Male,1979,22.8 [14.5-32.3],Oceania,22.8
13496,Marshall Islands,Female,1979,37.5 [28.2-47.2],Oceania,37.5
13497,Marshall Islands,Both sexes,1980,30.6 [24.3-37.1],Oceania,30.6
13498,Marshall Islands,Male,1980,23.3 [15.1-32.7],Oceania,23.3
13499,Marshall Islands,Female,1980,38.0 [28.9-47.6],Oceania,38.0
13500,Marshall Islands,Both sexes,1981,31.1 [24.9-37.5],Oceania,31.1
13501,Marshall Islands,Male,1981,23.9 [15.6-33.0],Oceania,23.9
13502,Marshall Islands,Female,1981,38.6 [29.6-47.9],Oceania,38.6
13503,Marshall Islands,Both sexes,1982,31.7 [25.5-38.0],Oceania,31.7
13504,Marshall Islands,Male,1982,24.4 [16.2-33.3],Oceania,24.4
13505,Marshall Islands,Female,1982,39.1 [30.3-48.3],Oceania,39.1
13506,Marshall Islands,Both sexes,1983,32.2 [26.2-38.5],Oceania,32.2
13507,Marshall Islands,Male,1983,25.0 [16.8-33.9],Oceania,25.0
13508,Marshall Islands,Female,1983,39.7 [30.9-48.7],Oceania,39.7
13509,Marshall Islands,Both sexes,1984,32.8 [26.8-39.0],Oceania,32.8
13510,Marshall Islands,Male,1984,25.7 [17.5-34.5],Oceania,25.7
13511,Marshall Islands,Female,1984,40.3 [31.7-49.2],Oceania,40.3
13512,Marshall Islands,Both sexes,1985,33.4 [27.6-39.7],Oceania,33.4
13513,Marshall Islands,Male,1985,26.3 [18.2-35.0],Oceania,26.3
13514,Marshall Islands,Female,1985,41.0 [32.3-49.6],Oceania,41.0
13515,Marshall Islands,Both sexes,1986,34.1 [28.2-40.3],Oceania,34.1
13516,Marshall Islands,Male,1986,27.0 [19.0-35.6],Oceania,27.0
13517,Marshall Islands,Female,1986,41.6 [33.1-50.1],Oceania,41.6
13518,Marshall Islands,Both sexes,1987,34.8 [28.9-40.9],Oceania,34.8
13519,Marshall Islands,Male,1987,27.8 [19.8-36.4],Oceania,27.8
13520,Marshall Islands,Female,1987,42.3 [33.8-50.8],Oceania,42.3
13521,Marshall Islands,Both sexes,1988,35.5 [29.6-41.6],Oceania,35.5
13522,Marshall Islands,Male,1988,28.5 [20.6-37.1],Oceania,28.5
13523,Marshall Islands,Female,1988,43.0 [34.6-51.4],Oceania,43.0
13524,Marshall Islands,Both sexes,1989,36.2 [30.4-42.2],Oceania,36.2
13525,Marshall Islands,Male,1989,29.3 [21.2-37.8],Oceania,29.3
13526,Marshall Islands,Female,1989,43.7 [35.5-52.0],Oceania,43.7
13527,Marshall Islands,Both sexes,1990,36.9 [31.1-42.9],Oceania,36.9
13528,Marshall Islands,Male,1990,30.1 [22.0-38.6],Oceania,30.1
13529,Marshall Islands,Female,1990,44.4 [36.2-52.7],Oceania,44.4
13530,Marshall Islands,Both sexes,1991,37.7 [31.9-43.6],Oceania,37.7
13531,Marshall Islands,Male,1991,30.9 [22.7-39.3],Oceania,30.9
13532,Marshall Islands,Female,1991,45.0 [37.0-53.2],Oceania,45.0
13533,Marshall Islands,Both sexes,1992,38.4 [32.6-44.3],Oceania,38.4
13534,Marshall Islands,Male,1992,31.6 [23.4-40.0],Oceania,31.6
13535,Marshall Islands,Female,1992,45.7 [37.7-53.7],Oceania,45.7
13536,Marshall Islands,Both sexes,1993,39.1 [33.3-45.0],Oceania,39.1
13537,Marshall Islands,Male,1993,32.3 [24.2-40.8],Oceania,32.3
13538,Marshall Islands,Female,1993,46.3 [38.3-54.3],Oceania,46.3
13539,Marshall Islands,Both sexes,1994,39.8 [34.0-45.6],Oceania,39.8
13540,Marshall Islands,Male,1994,33.1 [24.9-41.5],Oceania,33.1
13541,Marshall Islands,Female,1994,46.9 [38.9-54.9],Oceania,46.9
13542,Marshall Islands,Both sexes,1995,40.5 [34.7-46.2],Oceania,40.5
13543,Marshall Islands,Male,1995,33.8 [25.6-42.2],Oceania,33.8
13544,Marshall Islands,Female,1995,47.4 [39.5-55.3],Oceania,47.4
13545,Marshall Islands,Both sexes,1996,41.1 [35.5-46.8],Oceania,41.1
13546,Marshall Islands,Male,1996,34.5 [26.3-42.9],Oceania,34.5
13547,Marshall Islands,Female,1996,48.0 [40.1-55.9],Oceania,48.0
13548,Marshall Islands,Both sexes,1997,41.8 [36.2-47.5],Oceania,41.8
13549,Marshall Islands,Male,1997,35.2 [26.9-43.5],Oceania,35.2
13550,Marshall Islands,Female,1997,48.5 [40.8-56.3],Oceania,48.5
13551,Marshall Islands,Both sexes,1998,42.5 [36.9-48.1],Oceania,42.5
13552,Marshall Islands,Male,1998,35.9 [27.7-44.2],Oceania,35.9
13553,Marshall Islands,Female,1998,49.0 [41.3-56.8],Oceania,49.0
13554,Marshall Islands,Both sexes,1999,43.1 [37.5-48.7],Oceania,43.1
13555,Marshall Islands,Male,1999,36.6 [28.4-44.8],Oceania,36.6
13556,Marshall Islands,Female,1999,49.6 [41.9-57.3],Oceania,49.6
13557,Marshall Islands,Both sexes,2000,43.7 [38.2-49.4],Oceania,43.7
13558,Marshall Islands,Male,2000,37.3 [29.0-45.5],Oceania,37.3
13559,Marshall Islands,Female,2000,50.1 [42.4-57.7],Oceania,50.1
13560,Marshall Islands,Both sexes,2001,44.4 [38.9-49.9],Oceania,44.4
13561,Marshall Islands,Male,2001,38.0 [29.7-46.1],Oceania,38.0
13562,Marshall Islands,Female,2001,50.6 [43.0-58.1],Oceania,50.6
13563,Marshall Islands,Both sexes,2002,45.0 [39.5-50.4],Oceania,45.0
13564,Marshall Islands,Male,2002,38.7 [30.5-46.8],Oceania,38.7
13565,Marshall Islands,Female,2002,51.1 [43.5-58.5],Oceania,51.1
13566,Marshall Islands,Both sexes,2003,45.5 [40.1-51.0],Oceania,45.5
13567,Marshall Islands,Male,2003,39.4 [31.3-47.4],Oceania,39.4
13568,Marshall Islands,Female,2003,51.5 [44.0-58.9],Oceania,51.5
13569,Marshall Islands,Both sexes,2004,46.1 [40.7-51.5],Oceania,46.1
13570,Marshall Islands,Male,2004,40.1 [32.1-48.1],Oceania,40.1
13571,Marshall Islands,Female,2004,52.0 [44.6-59.4],Oceania,52.0
13572,Marshall Islands,Both sexes,2005,46.7 [41.3-52.0],Oceania,46.7
13573,Marshall Islands,Male,2005,40.8 [32.9-48.8],Oceania,40.8
13574,Marshall Islands,Female,2005,52.5 [45.1-59.9],Oceania,52.5
13575,Marshall Islands,Both sexes,2006,47.3 [41.9-52.7],Oceania,47.3
13576,Marshall Islands,Male,2006,41.5 [33.6-49.5],Oceania,41.5
13577,Marshall Islands,Female,2006,53.0 [45.6-60.4],Oceania,53.0
13578,Marshall Islands,Both sexes,2007,47.9 [42.5-53.3],Oceania,47.9
13579,Marshall Islands,Male,2007,42.2 [34.3-50.1],Oceania,42.2
13580,Marshall Islands,Female,2007,53.4 [46.0-60.9],Oceania,53.4
13581,Marshall Islands,Both sexes,2008,48.4 [43.0-53.9],Oceania,48.4
13582,Marshall Islands,Male,2008,42.9 [35.0-50.9],Oceania,42.9
13583,Marshall Islands,Female,2008,53.9 [46.5-61.5],Oceania,53.9
13584,Marshall Islands,Both sexes,2009,49.0 [43.6-54.4],Oceania,49.0
13585,Marshall Islands,Male,2009,43.6 [35.7-51.6],Oceania,43.6
13586,Marshall Islands,Female,2009,54.3 [46.9-62.0],Oceania,54.3
13587,Marshall Islands,Both sexes,2010,49.6 [44.1-55.1],Oceania,49.6
13588,Marshall Islands,Male,2010,44.3 [36.2-52.4],Oceania,44.3
13589,Marshall Islands,Female,2010,54.8 [47.2-62.4],Oceania,54.8
13590,Marshall Islands,Both sexes,2011,50.1 [44.5-55.7],Oceania,50.1
13591,Marshall Islands,Male,2011,45.0 [36.7-53.2],Oceania,45.0
13592,Marshall Islands,Female,2011,55.2 [47.6-62.9],Oceania,55.2
13593,Marshall Islands,Both sexes,2012,50.7 [45.1-56.3],Oceania,50.7
13594,Marshall Islands,Male,2012,45.7 [37.4-54.0],Oceania,45.7
13595,Marshall Islands,Female,2012,55.7 [48.0-63.4],Oceania,55.7
13596,Marshall Islands,Both sexes,2013,51.3 [45.5-57.0],Oceania,51.3
13597,Marshall Islands,Male,2013,46.4 [38.0-54.9],Oceania,46.4
13598,Marshall Islands,Female,2013,56.1 [48.3-63.9],Oceania,56.1
13599,Marshall Islands,Both sexes,2014,51.8 [45.9-57.7],Oceania,51.8
13600,Marshall Islands,Male,2014,47.1 [38.5-55.6],Oceania,47.1
13601,Marshall Islands,Female,2014,56.5 [48.6-64.5],Oceania,56.5
13602,Marshall Islands,Both sexes,2015,52.4 [46.4-58.4],Oceania,52.4
13603,Marshall Islands,Male,2015,47.7 [38.9-56.5],Oceania,47.7
13604,Marshall Islands,Female,2015,56.9 [48.8-65.1],Oceania,56.9
13605,Marshall Islands,Both sexes,2016,52.9 [46.7-59.1],Oceania,52.9
13606,Marshall Islands,Male,2016,48.4 [39.2-57.4],Oceania,48.4
13607,Marshall Islands,Female,2016,57.3 [49.1-65.7],Oceania,57.3
13986,Micronesia (Federated States of),Both sexes,1975,18.9 [12.8-25.7],Oceania,18.9
13987,Micronesia (Federated States of),Male,1975,13.3 [6.6-22.6],Oceania,13.3
13988,Micronesia (Federated States of),Female,1975,24.6 [15.3-35.7],Oceania,24.6
13989,Micronesia (Federated States of),Both sexes,1976,19.5 [13.5-26.1],Oceania,19.5
13990,Micronesia (Federated States of),Male,1976,13.8 [7.1-23.0],Oceania,13.8
13991,Micronesia (Federated States of),Female,1976,25.4 [16.1-36.1],Oceania,25.4
13992,Micronesia (Federated States of),Both sexes,1977,20.1 [14.2-26.6],Oceania,20.1
13993,Micronesia (Federated States of),Male,1977,14.3 [7.7-23.2],Oceania,14.3
13994,Micronesia (Federated States of),Female,1977,26.1 [17.0-36.4],Oceania,26.1
13995,Micronesia (Federated States of),Both sexes,1978,20.7 [15.0-27.2],Oceania,20.7
13996,Micronesia (Federated States of),Male,1978,14.7 [8.2-23.5],Oceania,14.7
13997,Micronesia (Federated States of),Female,1978,26.8 [17.8-36.9],Oceania,26.8
13998,Micronesia (Federated States of),Both sexes,1979,21.4 [15.7-27.7],Oceania,21.4
13999,Micronesia (Federated States of),Male,1979,15.3 [8.8-23.8],Oceania,15.3
14000,Micronesia (Federated States of),Female,1979,27.5 [18.6-37.5],Oceania,27.5
14001,Micronesia (Federated States of),Both sexes,1980,22.0 [16.4-28.2],Oceania,22.0
14002,Micronesia (Federated States of),Male,1980,15.8 [9.3-24.3],Oceania,15.8
14003,Micronesia (Federated States of),Female,1980,28.2 [19.5-38.0],Oceania,28.2
14004,Micronesia (Federated States of),Both sexes,1981,22.6 [17.0-28.6],Oceania,22.6
14005,Micronesia (Federated States of),Male,1981,16.3 [9.9-24.7],Oceania,16.3
14006,Micronesia (Federated States of),Female,1981,28.9 [20.3-38.5],Oceania,28.9
14007,Micronesia (Federated States of),Both sexes,1982,23.3 [17.7-29.2],Oceania,23.3
14008,Micronesia (Federated States of),Male,1982,16.8 [10.5-25.1],Oceania,16.8
14009,Micronesia (Federated States of),Female,1982,29.6 [21.1-39.0],Oceania,29.6
14010,Micronesia (Federated States of),Both sexes,1983,23.9 [18.4-29.7],Oceania,23.9
14011,Micronesia (Federated States of),Male,1983,17.4 [11.0-25.5],Oceania,17.4
14012,Micronesia (Federated States of),Female,1983,30.3 [21.9-39.4],Oceania,30.3
14013,Micronesia (Federated States of),Both sexes,1984,24.5 [19.1-30.3],Oceania,24.5
14014,Micronesia (Federated States of),Male,1984,17.9 [11.5-26.1],Oceania,17.9
14015,Micronesia (Federated States of),Female,1984,31.0 [22.8-39.8],Oceania,31.0
14016,Micronesia (Federated States of),Both sexes,1985,25.1 [19.7-30.9],Oceania,25.1
14017,Micronesia (Federated States of),Male,1985,18.5 [12.1-26.5],Oceania,18.5
14018,Micronesia (Federated States of),Female,1985,31.7 [23.6-40.4],Oceania,31.7
14019,Micronesia (Federated States of),Both sexes,1986,25.8 [20.4-31.5],Oceania,25.8
14020,Micronesia (Federated States of),Male,1986,19.1 [12.6-27.0],Oceania,19.1
14021,Micronesia (Federated States of),Female,1986,32.4 [24.3-41.0],Oceania,32.4
14022,Micronesia (Federated States of),Both sexes,1987,26.4 [21.1-32.0],Oceania,26.4
14023,Micronesia (Federated States of),Male,1987,19.7 [13.2-27.6],Oceania,19.7
14024,Micronesia (Federated States of),Female,1987,33.1 [25.1-41.6],Oceania,33.1
14025,Micronesia (Federated States of),Both sexes,1988,27.0 [21.7-32.7],Oceania,27.0
14026,Micronesia (Federated States of),Male,1988,20.3 [13.7-28.2],Oceania,20.3
14027,Micronesia (Federated States of),Female,1988,33.8 [25.8-42.1],Oceania,33.8
14028,Micronesia (Federated States of),Both sexes,1989,27.7 [22.3-33.3],Oceania,27.7
14029,Micronesia (Federated States of),Male,1989,20.9 [14.3-28.8],Oceania,20.9
14030,Micronesia (Federated States of),Female,1989,34.5 [26.6-42.7],Oceania,34.5
14031,Micronesia (Federated States of),Both sexes,1990,28.3 [23.0-33.9],Oceania,28.3
14032,Micronesia (Federated States of),Male,1990,21.5 [14.8-29.4],Oceania,21.5
14033,Micronesia (Federated States of),Female,1990,35.2 [27.3-43.2],Oceania,35.2
14034,Micronesia (Federated States of),Both sexes,1991,29.0 [23.7-34.6],Oceania,29.0
14035,Micronesia (Federated States of),Male,1991,22.1 [15.4-30.0],Oceania,22.1
14036,Micronesia (Federated States of),Female,1991,35.8 [28.0-43.8],Oceania,35.8
14037,Micronesia (Federated States of),Both sexes,1992,29.6 [24.4-35.2],Oceania,29.6
14038,Micronesia (Federated States of),Male,1992,22.8 [16.0-30.6],Oceania,22.8
14039,Micronesia (Federated States of),Female,1992,36.5 [28.8-44.4],Oceania,36.5
14040,Micronesia (Federated States of),Both sexes,1993,30.3 [25.1-35.8],Oceania,30.3
14041,Micronesia (Federated States of),Male,1993,23.4 [16.7-31.2],Oceania,23.4
14042,Micronesia (Federated States of),Female,1993,37.2 [29.5-45.0],Oceania,37.2
14043,Micronesia (Federated States of),Both sexes,1994,30.9 [25.8-36.4],Oceania,30.9
14044,Micronesia (Federated States of),Male,1994,24.1 [17.3-31.8],Oceania,24.1
14045,Micronesia (Federated States of),Female,1994,37.9 [30.2-45.6],Oceania,37.9
14046,Micronesia (Federated States of),Both sexes,1995,31.6 [26.5-37.0],Oceania,31.6
14047,Micronesia (Federated States of),Male,1995,24.7 [17.9-32.4],Oceania,24.7
14048,Micronesia (Federated States of),Female,1995,38.5 [31.0-46.1],Oceania,38.5
14049,Micronesia (Federated States of),Both sexes,1996,32.3 [27.2-37.6],Oceania,32.3
14050,Micronesia (Federated States of),Male,1996,25.3 [18.6-32.9],Oceania,25.3
14051,Micronesia (Federated States of),Female,1996,39.2 [31.7-46.7],Oceania,39.2
14052,Micronesia (Federated States of),Both sexes,1997,32.9 [27.8-38.2],Oceania,32.9
14053,Micronesia (Federated States of),Male,1997,26.0 [19.2-33.5],Oceania,26.0
14054,Micronesia (Federated States of),Female,1997,39.8 [32.4-47.2],Oceania,39.8
14055,Micronesia (Federated States of),Both sexes,1998,33.5 [28.5-38.8],Oceania,33.5
14056,Micronesia (Federated States of),Male,1998,26.6 [19.8-34.0],Oceania,26.6
14057,Micronesia (Federated States of),Female,1998,40.3 [33.1-47.7],Oceania,40.3
14058,Micronesia (Federated States of),Both sexes,1999,34.2 [29.2-39.4],Oceania,34.2
14059,Micronesia (Federated States of),Male,1999,27.2 [20.5-34.6],Oceania,27.2
14060,Micronesia (Federated States of),Female,1999,40.9 [33.8-48.1],Oceania,40.9
14061,Micronesia (Federated States of),Both sexes,2000,34.7 [29.9-39.9],Oceania,34.7
14062,Micronesia (Federated States of),Male,2000,27.8 [21.1-35.1],Oceania,27.8
14063,Micronesia (Federated States of),Female,2000,41.5 [34.4-48.6],Oceania,41.5
14064,Micronesia (Federated States of),Both sexes,2001,35.4 [30.6-40.5],Oceania,35.4
14065,Micronesia (Federated States of),Male,2001,28.4 [21.8-35.8],Oceania,28.4
14066,Micronesia (Federated States of),Female,2001,42.0 [35.0-49.2],Oceania,42.0
14067,Micronesia (Federated States of),Both sexes,2002,36.0 [31.2-41.1],Oceania,36.0
14068,Micronesia (Federated States of),Male,2002,29.0 [22.4-36.3],Oceania,29.0
14069,Micronesia (Federated States of),Female,2002,42.6 [35.7-49.7],Oceania,42.6
14070,Micronesia (Federated States of),Both sexes,2003,36.6 [31.9-41.7],Oceania,36.6
14071,Micronesia (Federated States of),Male,2003,29.7 [23.1-37.0],Oceania,29.7
14072,Micronesia (Federated States of),Female,2003,43.2 [36.4-50.2],Oceania,43.2
14073,Micronesia (Federated States of),Both sexes,2004,37.3 [32.5-42.3],Oceania,37.3
14074,Micronesia (Federated States of),Male,2004,30.4 [23.8-37.6],Oceania,30.4
