,Country,Sex,Year,Obesity (%),Region,BMI
1085,Australia,Female,2000,20.5 [17.3-23.8],Oceania,20.5
1086,Australia,Both sexes,2001,20.7 [18.5-23.2],Oceania,20.7
1087,Australia,Male,2001,20.5 [17.1-24.0],Oceania,20.5
1088,Australia,Female,2001,21.0 [17.8-24.3],Oceania,21.0
1089,Australia,Both sexes,2002,21.3 [19.0-23.8],Oceania,21.3
1090,Australia,Male,2002,21.1 [17.7-24.6],Oceania,21.1
1091,Australia,Female,2002,21.5 [18.3-24.8],Oceania,21.5
1092,Australia,Both sexes,2003,21.8 [19.6-24.3],Oceania,21.8
1093,Australia,Male,2003,21.7 [18.2-25.2],Oceania,21.7
1094,Australia,Female,2003,22.0 [18.8-25.4],Oceania,22.0
1095,Australia,Both sexes,2004,22.4 [20.1-24.9],Oceania,22.4
1096,Australia,Male,2004,22.3 [18.8-25.8],Oceania,22.3
1097,Australia,Female,2004,22.5 [19.3-25.9],Oceania,22.5
1098,Australia,Both sexes,2005,22.9 [20.6-25.5],Oceania,22.9
1099,Australia,Male,2005,22.9 [19.4-26.5],Oceania,22.9
1100,Australia,Female,2005,23.0 [19.7-26.5],Oceania,23.0
1101,Australia,Both sexes,2006,23.5 [21.1-26.1],Oceania,23.5
1102,Australia,Male,2006,23.5 [19.9-27.1],Oceania,23.5
1103,Australia,Female,2006,23.5 [20.2-27.1],Oceania,23.5
1104,Australia,Both sexes,2007,24.0 [21.6-26.6],Oceania,24.0
1105,Australia,Male,2007,24.0 [20.4-27.8],Oceania,24.0
1106,Australia,Female,2007,24.0 [20.6-27.6],Oceania,24.0
1107,Australia,Both sexes,2008,24.6 [22.1-27.2],Oceania,24.6
1108,Australia,Male,2008,24.6 [20.9-28.5],Oceania,24.6
1109,Australia,Female,2008,24.5 [21.0-28.2],Oceania,24.5
1110,Australia,Both sexes,2009,25.1 [22.5-27.9],Oceania,25.1
1111,Australia,Male,2009,25.2 [21.4-29.2],Oceania,25.2
1112,Australia,Female,2009,24.9 [21.4-28.8],Oceania,24.9
1113,Australia,Both sexes,2010,25.6 [23.0-28.6],Oceania,25.6
1114,Australia,Male,2010,25.8 [21.9-30.0],Oceania,25.8
